noun_w_ekor_noaffix	noun_w_ekor_affixed	cossim
orang	petani	0.44
orang	pejuang	0.46
orang	pemburu	0.35
anak	petani	0.38
anak	pejuang	0.37
anak	pemburu	0.27
bayi	petani	0.24
bayi	pejuang	0.28
bayi	pemburu	0.21
ikan	petani	0.35
ikan	pejuang	0.21
ikan	pemburu	0.38
api	petani	0.19
api	pejuang	0.33
api	pemburu	0.24
raja	petani	0.33
raja	pejuang	0.32
raja	pemburu	0.35
lalat	petani	0.24
lalat	pejuang	0.24
lalat	pemburu	0.28
bintang	petani	0.19
bintang	pejuang	0.32
bintang	pemburu	0.26
hewan	petani	0.33
hewan	pejuang	0.29
hewan	pemburu	0.44
daging	petani	0.23
daging	pejuang	0.21
daging	pemburu	0.27
burung	petani	0.32
burung	pejuang	0.26
burung	pemburu	0.44
ayam	petani	0.29
ayam	pejuang	0.26
ayam	pemburu	0.24
makhluk	petani	0.27
makhluk	pejuang	0.31
makhluk	pemburu	0.36
kucing	petani	0.21
kucing	pejuang	0.18
kucing	pemburu	0.36
binatang	petani	0.29
binatang	pejuang	0.29
binatang	pemburu	0.45
sapi	petani	0.35
sapi	pejuang	0.2
sapi	pemburu	0.29
anjing	petani	0.24
anjing	pejuang	0.21
anjing	pemburu	0.48
kuda	petani	0.26
kuda	pejuang	0.23
kuda	pemburu	0.3
induk	petani	0.27
induk	pejuang	0.25
induk	pemburu	0.31
ular	petani	0.27
ular	pejuang	0.21
ular	pemburu	0.31
malaikat	petani	0.17
malaikat	pejuang	0.29
malaikat	pemburu	0.25
ternak	petani	0.46
ternak	pejuang	0.22
ternak	pemburu	0.37
pahlawan	petani	0.32
pahlawan	pejuang	0.64
pahlawan	pemburu	0.33
babi	petani	0.26
babi	pejuang	0.17
babi	pemburu	0.34
serangga	petani	0.32
serangga	pejuang	0.29
serangga	pemburu	0.42
hantu	petani	0.22
hantu	pejuang	0.24
hantu	pemburu	0.41
bibit	petani	0.45
bibit	pejuang	0.24
bibit	pemburu	0.29
tikus	petani	0.33
tikus	pejuang	0.23
tikus	pemburu	0.38
singa	petani	0.13
singa	pejuang	0.14
singa	pemburu	0.41
domba	petani	0.29
domba	pejuang	0.21
domba	pemburu	0.29
benih	petani	0.45
benih	pejuang	0.26
benih	pemburu	0.24
buaya	petani	0.26
buaya	pejuang	0.19
buaya	pemburu	0.32
cacing	petani	0.31
cacing	pejuang	0.2
cacing	pemburu	0.22
paus	petani	0.19
paus	pejuang	0.21
paus	pemburu	0.37
nyamuk	petani	0.16
nyamuk	pejuang	0.24
nyamuk	pemburu	0.28
iblis	petani	0.19
iblis	pejuang	0.26
iblis	pemburu	0.33
lebah	petani	0.3
lebah	pejuang	0.23
lebah	pemburu	0.35
mamalia	petani	0.23
mamalia	pejuang	0.21
mamalia	pemburu	0.33
semut	petani	0.32
semut	pejuang	0.27
semut	pemburu	0.3
monyet	petani	0.24
monyet	pejuang	0.25
monyet	pemburu	0.33
jago	petani	0.2
jago	pejuang	0.27
jago	pemburu	0.28
serigala	petani	0.19
serigala	pejuang	0.27
serigala	pemburu	0.43
katak	petani	0.24
katak	pejuang	0.21
katak	pemburu	0.33
unta	petani	0.2
unta	pejuang	0.22
unta	pemburu	0.32
kera	petani	0.22
kera	pejuang	0.28
kera	pemburu	0.33
ulat	petani	0.33
ulat	pejuang	0.26
ulat	pemburu	0.31
macan	petani	0.13
macan	pejuang	0.19
macan	pemburu	0.34
rubah	petani	0.14
rubah	pejuang	0.14
rubah	pemburu	0.3
merpati	petani	0.19
merpati	pejuang	0.2
merpati	pemburu	0.34
lembu	petani	0.22
lembu	pejuang	0.21
lembu	pemburu	0.25
kelelawar	petani	0.22
kelelawar	pejuang	0.2
kelelawar	pemburu	0.39
keledai	petani	0.29
keledai	pejuang	0.15
keledai	pemburu	0.2
belalang	petani	0.27
belalang	pejuang	0.13
belalang	pemburu	0.32
angsa	petani	0.24
angsa	pejuang	0.19
angsa	pemburu	0.27
gabus	petani	0.24
gabus	pejuang	0.14
gabus	pemburu	0.19
ngengat	petani	0.18
ngengat	pejuang	0.22
ngengat	pemburu	0.26
kalkun	petani	0.18
kalkun	pejuang	0.09
kalkun	pemburu	0.27
